Product Code/SKU,Product Name,Cost Price,Selling Price,Product URL,Description,Product Image1,Product Image2,Size,Quantity
152815,Nike Kids Free RN 2017 Running - Black,3825.0,4898.75,http://www.prodirectrunning.com/products/Nike-Kids-Free-RN-2017-Running-Black-Boys-Shoes-904255002-152815.aspx,"Experience multidirectional flexibility thanks to the tri-star outsole and enjoy a barefoot-like feel with the Nike Free midsole. Designed to deliver durability as well as soft, responsive cushioning, the midsole on the Nike Free RN 2017 will keep you comfortable every step of the way.Finished with rubber pods on the outsole, these shoes enhance your traction for a sure-footed feel.",http://www.prodirectrunning.com//productimages/V3_1_Main/152815.jpg,http://www.prodirectrunning.com//productimages/V3_1_Gallery_1/152815.jpg,7,5
170723,Nike Boys Lunar Apparent Running - Black-White-Cool Grey,3485.0,4507.75,http://www.prodirectrunning.com/products/Nike-Boys-Lunar-Apparent-Running-Black-WhiteCool-Grey-917943001-170723.aspx,,http://www.prodirectrunning.com//productimages/V3_1_Main/170723.jpg,http://www.prodirectrunning.com//productimages/V3_1_Gallery_1/170723.jpg,7,5
155380,Asics Boys Gel-Cumulus 19 GS - Limoges/Peacoat/Energy Green,2040.0,2846.0,http://www.prodirectrunning.com/products/Asics-Boys-GelCumulus-19-GS-Limoges-Peacoat-Energy-Green-Boys-Shoes-C742N4958-155380.aspx,,http://www.prodirectrunning.com//productimages/V3_1_Main/155380.jpg,http://www.prodirectrunning.com//productimages/V3_1_Gallery_1/155380.jpg,5.5,5
155381,Asics Boys Gel-Galaxy 9 GS - Directoire Blue/Black/Hot Orange,1615.0,2357.25,http://www.prodirectrunning.com/products/Asics-Boys-GelGalaxy-9-GS-Directoire-Blue-Black-Hot-Orange-Boys-Shoes-C626N4390-155381.aspx,"Featuring a moulded EVA midsole, the Gel-Galaxy 9 GS from ASICS offers a supportive fit. The addition of a breathable mesh upper for ventilation and rearfoot gel for bounce and stability makes these shoes perfect for running as well as everyday wear.",http://www.prodirectrunning.com//productimages/V3_1_Main/155381.jpg,http://www.prodirectrunning.com//productimages/V3_1_Gallery_1/155381.jpg,5,5
170722,Nike Girls Dualtone Racer - Tea Berry,4080.0,5192.0,http://www.prodirectrunning.com/products/Nike-Girls-Dualtone-Racer-Tea-Berry-Pearl-PinkBlackSummit-White-917649601-170722.aspx,,http://www.prodirectrunning.com//productimages/V3_1_Main/170722.jpg,http://www.prodirectrunning.com//productimages/V3_1_Gallery_1/170722.jpg,7,5
155384,Asics Girls Gel-Galaxy 9 GS - Blue Purple/White/Airy Blue,1955.0,2748.25,http://www.prodirectrunning.com/products/Asics-Girls-GelGalaxy-9-GS-Blue-Purple-White-Airy-Blue-Girls-Shoes-C626N4801-155384.aspx,"Featuring a moulded EVA midsole, the Gel-Galaxy 9 GS from ASICS offers a supportive fit. The addition of a breathable mesh upper for ventilation and rearfoot gel for bounce and stability makes these shoes perfect for running as well as everyday wear.",http://www.prodirectrunning.com//productimages/V3_1_Main/155384.jpg,http://www.prodirectrunning.com//productimages/V3_1_Gallery_1/155384.jpg,5,5
170727,Nike Boys Dualtone Racer SE - Black,4250.0,5387.5,http://www.prodirectrunning.com/products/Nike-Boys-Dualtone-Racer-SE-Black-AnthraciteCool-GreyWhite-943575001-170727.aspx,,http://www.prodirectrunning.com//productimages/V3_1_Main/170727.jpg,http://www.prodirectrunning.com//productimages/V3_1_Gallery_1/170727.jpg,7,5
170715,Nike Boys Flex 2017 RN Running - Black,3485.0,4507.75,http://www.prodirectrunning.com/products/Nike-Boys-Flex-2017-RN-Running-Black-Metallic-GoldWhite-904236007-170715.aspx,,http://www.prodirectrunning.com//productimages/V3_1_Main/170715.jpg,http://www.prodirectrunning.com//productimages/V3_1_Gallery_1/170715.jpg,7,5
170712,Nike Boys Court Borough Mid - Black,3400.0,4410.0,http://www.prodirectrunning.com/products/Nike-Boys-Court-Borough-Mid-Black-BlackBlack-839977001-170712.aspx,,http://www.prodirectrunning.com//productimages/V3_1_Main/170712.jpg,http://www.prodirectrunning.com//productimages/V3_1_Gallery_1/170712.jpg,7,5
152833,Nike Girls Lunarstelos - Prism Pink/Metallic Silver-Racer Pink,3230.0,4214.5,http://www.prodirectrunning.com/products/Nike-Girls-Lunarstelos-Prism-Pink-Metallic-SilverRacer-Pink-Girls-Shoes-844974601-152833.aspx,"With a blend of two foam densities, the Lunarstelos Running Shoe has an incredibly cushioned yet structured platform, which provides superb comfort and support. The shoe features moulded channels in the firmer foam that enhance the flexibility for a more natural range of motion. Meanwhile, the mesh upper offers breathability and creates a snug fit. Combined with the overlays, the upper caters for additional support that will keep you moving freely and comfortably with every step.",http://www.prodirectrunning.com//productimages/V3_1_Main/152833.jpg,http://www.prodirectrunning.com//productimages/V3_1_Gallery_1/152833.jpg,7,5
170720,Nike Boys Dualtone Racer - Black,4080.0,5192.0,http://www.prodirectrunning.com/products/Nike-Boys-Dualtone-Racer-Black-BlackBlack-917648002-170720.aspx,,http://www.prodirectrunning.com//productimages/V3_1_Main/170720.jpg,http://www.prodirectrunning.com//productimages/V3_1_Gallery_1/170720.jpg,7,5
